epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1159.38,0.31693,0.08127,0.05179,0.22422,0.92271,0.99981,1,0.995,0.99143,0.99325,0.99344,0.994,0.994,0.20371,0.07514,0.00452,0.13056,0.81016,0.00769,0.00769,0.00769
72,1165.53,0.31499,0.07649,0.04464,0.21791,0.9193,0.99982,1,0.995,0.99277,0.99326,0.99344,0.99297,0.99297,0.18918,0.07607,0.00505,0.13191,0.80757,0.007657,0.007657,0.007657
73,1171.84,0.31489,0.08765,0.06001,0.21794,0.92262,0.9998,1,0.995,0.99282,0.99325,0.99344,0.99151,0.99122,0.17956,0.07586,0.00826,0.13175,0.80682,0.007624,0.007624,0.007624
74,1178.19,0.32012,0.07279,0.04398,0.22472,0.92278,0.99982,1,0.995,0.99384,0.99326,0.99344,0.99372,0.99372,0.18041,0.07399,0.00705,0.12427,0.80668,0.007591,0.007591,0.007591
75,1184.36,0.31608,0.08075,0.04082,0.21861,0.91995,0.99982,1,0.995,0.99256,0.99327,0.99344,0.99257,0.99257,0.17534,0.07045,0.00526,0.12088,0.80636,0.007558,0.007558,0.007558
76,1190.68,0.31054,0.09727,0.0498,0.21189,0.91753,0.99982,1,0.995,0.99295,0.99326,0.99344,0.99319,0.99319,0.18226,0.07153,0.00692,0.12361,0.80776,0.007525,0.007525,0.007525
77,1196.77,0.31871,0.08556,0.05144,0.22059,0.92452,0.99981,1,0.995,0.99492,0.99326,0.99344,0.99321,0.99321,0.18721,0.07203,0.00617,0.12654,0.80794,0.007492,0.007492,0.007492
78,1203.17,0.31519,0.08382,0.04502,0.21497,0.91924,0.99982,1,0.995,0.98939,0.99326,0.99344,0.9925,0.99249,0.19666,0.07291,0.00424,0.13147,0.80885,0.007459,0.007459,0.007459
79,1209.48,0.31084,0.07023,0.04867,0.21542,0.91967,0.99982,1,0.995,0.99376,0.99326,0.99344,0.99297,0.99296,0.17716,0.07348,0.00346,0.12909,0.80646,0.007426,0.007426,0.007426
80,1215.49,0.30688,0.08714,0.05424,0.21244,0.92268,0.99982,1,0.995,0.99426,0.99326,0.99344,0.99433,0.99433,0.18991,0.07187,0.00438,0.12809,0.80784,0.007393,0.007393,0.007393
81,1221.59,0.31357,0.07994,0.05097,0.21588,0.92061,0.99981,1,0.995,0.99473,0.99325,0.99344,0.99457,0.99457,0.18606,0.07661,0.00561,0.13648,0.80764,0.00736,0.00736,0.00736
82,1227.79,0.30985,0.07682,0.05362,0.21449,0.9192,0.99982,1,0.995,0.99499,0.99326,0.99344,0.98886,0.98844,0.17127,0.07568,0.00509,0.12385,0.80508,0.007327,0.007327,0.007327
83,1234.32,0.30747,0.09633,0.04541,0.21335,0.91841,0.99982,1,0.995,0.995,0.99326,0.99344,0.99358,0.99358,0.17257,0.07242,0.0088,0.12215,0.80542,0.007294,0.007294,0.007294
84,1240.7,0.29863,0.07253,0.04824,0.20859,0.91899,0.99981,1,0.995,0.99304,0.99326,0.99344,0.99292,0.99241,0.19306,0.07202,0.00694,0.13384,0.80858,0.007261,0.007261,0.007261
85,1246.82,0.29886,0.07952,0.05029,0.21019,0.91799,0.99982,1,0.995,0.99404,0.99326,0.99344,0.99426,0.99393,0.18808,0.0718,0.00565,0.13095,0.80805,0.007228,0.007228,0.007228
86,1252.77,0.30154,0.07897,0.05238,0.20948,0.91636,0.99982,1,0.995,0.99288,0.99326,0.99344,0.99453,0.99408,0.17668,0.07236,0.00524,0.12827,0.80704,0.007195,0.007195,0.007195
87,1258.81,0.30587,0.0766,0.05362,0.20868,0.91784,0.99981,1,0.995,0.99495,0.99326,0.99344,0.99377,0.99376,0.17377,0.07235,0.00832,0.11905,0.80596,0.007162,0.007162,0.007162
88,1264.83,0.2968,0.07206,0.04344,0.2066,0.91653,0.99982,1,0.995,0.99483,0.99326,0.99344,0.99393,0.99393,0.16761,0.07147,0.00524,0.11343,0.80576,0.007129,0.007129,0.007129
89,1271.05,0.29957,0.07218,0.04598,0.20602,0.91188,0.99982,1,0.995,0.99333,0.99326,0.99344,0.99294,0.99294,0.17779,0.06845,0.00551,0.12514,0.80652,0.007096,0.007096,0.007096
90,1277.08,0.29833,0.07054,0.0452,0.20601,0.91519,0.99981,1,0.995,0.99313,0.99325,0.99344,0.9932,0.9932,0.18519,0.07007,0.00463,0.13262,0.80852,0.007063,0.007063,0.007063
91,1283.05,0.29844,0.07746,0.04561,0.20499,0.91632,0.9998,1,0.995,0.98821,0.99325,0.99344,0.99283,0.99283,0.20659,0.06997,0.00303,0.13468,0.8122,0.00703,0.00703,0.00703
92,1289,0.29076,0.07703,0.04033,0.20683,0.91516,0.99977,1,0.995,0.99131,0.99322,0.99344,0.99416,0.99416,0.20041,0.07226,0.00148,0.12503,0.81068,0.006997,0.006997,0.006997
93,1294.95,0.29381,0.06958,0.04331,0.20574,0.91321,0.99976,1,0.995,0.995,0.9932,0.99344,0.99264,0.99264,0.17142,0.07043,0.00504,0.11624,0.80617,0.006964,0.006964,0.006964
94,1300.97,0.29231,0.07438,0.04375,0.20427,0.91644,0.99981,1,0.995,0.99467,0.99325,0.99344,0.99081,0.99081,0.19097,0.06941,0.00202,0.12259,0.80758,0.006931,0.006931,0.006931
95,1306.92,0.28751,0.07232,0.04684,0.20157,0.91139,0.99982,1,0.995,0.99434,0.99326,0.99344,0.99239,0.99235,0.17293,0.07227,0.00227,0.12257,0.80619,0.006898,0.006898,0.006898
96,1312.85,0.28938,0.07735,0.04844,0.19987,0.91404,0.99982,1,0.995,0.99435,0.99326,0.99344,0.9947,0.9947,0.17521,0.06947,0.00996,0.11629,0.80654,0.006865,0.006865,0.006865
